,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
410,FoxNews,".@VP Mike Pence delivers keynote remarks at the close of the 2018 Faith &amp; Freedom Coalition ""Road to Majority."" https://t.co/JWcCBVCjx1",2018-06-09 22:15:04+00:00,0.7906,0.28,0.0,0.72,411
411,FoxNews,"TOMORROW: Don't miss a brand new ""Life, Liberty, &amp; Levin"" with @marklevinshow - Tune in at 10p ET on Fox News Chann… https://t.co/JloyPLb79c",2018-06-09 22:12:00+00:00,0.5919,0.203,0.0,0.797,412
412,FoxNews,"SeaWorld getting rid of plastic straws, plastic bags at all US parks https://t.co/o5sCVFney1",2018-06-09 22:09:43+00:00,0.0,0.0,0.0,1.0,413
413,FoxNews,".@RCamposDuffy: ""Republicans and especially Republican women and Republican or conservative minorities have always… https://t.co/D6p9iIR1QB",2018-06-09 22:05:43+00:00,0.0,0.0,0.0,1.0,414
414,FoxNews,"Lou Holtz on @Eagles controversy: ""The locker room belongs to the players of the @NFL. They can say anything they w… https://t.co/n3NNBJA2O7",2018-06-09 21:59:10+00:00,0.0,0.0,0.0,1.0,415
415,FoxNews,".@POTUS: ""The power to pardon is a beautiful thing. You got to get it right, you got to get the right people.""… https://t.co/kJoxSdfmxm",2018-06-09 21:48:00+00:00,0.7351,0.237,0.0,0.763,416
416,FoxNews,OPINION: There's just one way to marry the right person (and anyone can do it) https://t.co/yqcYBoKZ8w,2018-06-09 21:41:00+00:00,0.0,0.0,0.0,1.0,417
417,FoxNews,".@Mark_Penn on the Mueller probe: ""I think our Constitution is being stepped on."" https://t.co/WU779vQZHl",2018-06-09 21:39:41+00:00,0.0,0.0,0.0,1.0,418
418,FoxNews,"Belmont Stakes' Triple Crown contender, start time, odds and everything else about the horse race https://t.co/6SDuqSRpPJ",2018-06-09 21:35:06+00:00,0.128,0.091,0.0,0.909,419
419,FoxNews,".@POTUS: ""The U.S. press is very dishonest, much of it, not all of it."" https://t.co/wRY77Xrqxz",2018-06-09 21:32:10+00:00,-0.6115,0.0,0.222,0.778,420
420,FoxNews,U.S. Markets - So far this year. https://t.co/dXBWkXeAc2,2018-06-09 21:28:31+00:00,0.0,0.0,0.0,1.0,421
421,FoxNews,.@SteveHiltonx: Trump’s criticism of G-7 is ‘unprecedented’ scream the elite -- That’s the whole point of Trump! https://t.co/ZwoJG4yXGb,2018-06-09 21:17:59+00:00,-0.7088,0.0,0.269,0.731,422
422,FoxNews,President @realDonaldTrump is on his way to Singapore for a historic meeting with North Korean leader Kim Jong Un.… https://t.co/f5vz9YYXXE,2018-06-09 21:11:20+00:00,0.0,0.0,0.0,1.0,423
423,FoxNews,"Florida woman's body found after gator attack, officials say https://t.co/5zyQqG9a32",2018-06-09 21:03:40+00:00,-0.4767,0.0,0.256,0.744,424
